,prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,difference
26,695000.0, 11100 Aragon Dr Austin TX 78759 ,5,3.0,2231.0,6.95,2.231,1033753.776550293,338753.77655029297
392,420000.0, 1212 Guadalupe St APT 402 Austin TX 78701 ,4,3.0,1821.0,4.2,1.821,759008.5506439209,339008.5506439209
343,319900.0, 1500 E Side Dr UNIT 102-B Austin TX 78704 ,2,4.0,2600.0,3.199,2.6,-19914.07871246338,339814.0787124634
89,358990.0, The Jefferson Plan Pioneer Hill ,3,2.0,1512.0,3.5899,1.512,700579.3571472168,341589.3571472168
212,1099000.0, 1411 Haskell St #1 Austin TX 78702 ,4,3.0,2305.0,10.99,2.305,755274.248123169,343725.75187683105
285,350000.0, 2933 Eckert St Austin TX 78722 ,3,2.0,2339.0,3.5,2.339,694198.6083984375,344198.6083984375
274,400000.0, 6107 Calmar Cv Austin TX 78721 ,4,3.0,3243.0,4.0,3.243,748037.1475219727,348037.14752197266
338,460000.0, 9520 Morgan Creek Dr Austin TX 78717 ,5,4.0,3302.0,4.6,3.302,808395.1950073242,348395.1950073242
341,349000.0, 6516 Berkman Dr Austin TX 78723 ,3,2.0,1663.0,3.49,1.663,699414.3009185791,350414.3009185791
93,349900.0, 8105 Boggy Ridge Dr Austin TX 78748 ,3,2.0,1518.0,3.499,1.518,700533.0085754395,350633.00857543945
57,350000.0, 14812 Avery Ranch Blvd APT 28 Austin TX 78717 ,3,2.0,1201.0,3.5,1.201,702978.8494110107,352978.84941101074
4,399990.0, The Roosevelt Plan Pioneer Hill ,4,3.0,2320.0,3.9999,2.32,755158.519744873,355168.51974487305
7,399000.0, 5845 Kleberg Trl Austin TX 78747 ,4,3.0,2432.0,3.99,2.432,754294.3954467773,355294.39544677734
178,449000.0, 40 N Interstate Highway 35 APT 6D4 Austin TX 78701 ,5,4.0,3302.0,4.49,3.302,808395.1950073242,359395.1950073242
303,340000.0, 12800 Venice Ln Austin TX 78750 ,2,4.0,2600.0,3.4,2.6,-19914.07871246338,359914.0787124634
265,175500.0, 935 La Posada Dr #133 Austin TX 78752 ,4,4.0,2599.0,1.755,2.599,535910.6063842773,360410.60638427734
144,339000.0, 4714 Cypress Bnd Austin TX 78744 ,3,2.0,1496.0,3.39,1.496,700702.7626037598,361702.76260375977
240,329990.0, 15004 Drusillas Dr Pflugerville TX 78660 ,3,2.0,2640.0,3.2999,2.64,691876.2683868408,361886.2683868408
188,339000.0, 11715 Budley S Degroot Ln Austin TX 78748 ,3,2.0,1304.0,3.39,1.304,702184.1526031494,363184.1526031494
312,395000.0, 9602 Point Vista Pl Austin TX 78753 ,4,3.0,1821.0,3.95,1.821,759008.5506439209,364008.5506439209
148,335000.0, 12105 Verchota Dr Austin TX 78748 ,3,2.0,1304.0,3.35,1.304,702184.1526031494,367184.1526031494
281,335000.0, 7907 Marble Ridge Dr Austin TX 78747 ,3,2.0,1291.0,3.35,1.291,702284.4314575195,367284.43145751953
346,795000.0, 3604 Robbins Rd Austin TX 78730 ,2,2.0,1059.0,7.95,1.059,426165.9622192383,368834.0377807617
327,799000.0, 2408 Glen Springs Way Austin TX 78741 ,2,2.0,834.0,7.99,0.834,427901.9355773926,371098.0644226074
68,385000.0, 1108 Jolena Cir Austin TX 78721 ,4,3.0,1908.0,3.85,1.908,758337.3069763184,373337.30697631836
